molecule,Gtherm_neutral,Gtherm_anion,Esol_neutral,Esol_anion,Gsol_neutral(Hartree),Gsol_anion(Hartree),Gsol_neutral(kcal/mol),Gsol_anion(kcal/mol),dG_rxn_sol(kcal/mol),E0(V)
PHENAZINE,0.13541,0.130566,-571.407608943,-571.515006666,-571.272198943,-571.3844406659999,-358478.446286523,-358548.878977881,0.0,-1.74
1_Cl_NH2_R1_R9,0.138764,0.134839,-1086.32349048,-1086.43264604,-1086.1847264799999,-1086.29780704,-681590.6915287382,-681661.6505978634,-0.526377767091617,-1.717174547196929
2_COOCH3_C6H5_R2_R9,0.245053,0.241106,-1030.18800268,-1030.30183792,-1029.9429496799999,-1030.06073192,-646298.470410747,-646372.3798263874,-3.476724282372743,-1.5892379219299795
3_SH_CF3_R2_R9,0.122209,0.118043,-2387.54390388,-2387.65854473,-2387.42169488,-2387.54050173,-1498128.6003324538,-1498203.1527000905,-4.11967627867125,-1.5613574312184533
4_2CH3N_CH2=CH_R1_R9,0.232793,0.22822,-782.690025639,-782.795083597,-782.457232639,-782.5668635970001,-490998.9555960663,-491067.75000888994,1.6382785344030708,-1.811041088174974
5_CN_SH_R2_R1,0.128093,0.124017,-1061.78156404,-1061.90246959,-1061.6534710399999,-1061.77845259,-666197.1079588393,-666275.5350062982,-7.994356100913137,-1.3933387060009046
6_CH2=CH_C6H5_R2_R8,0.238652,0.23412,-879.756493225,-879.865317976,-879.517841225,-879.6311979760001,-551905.3610292586,-551976.4934107219,-0.6996901053935289,-1.709659160253522
7_CN_NH2_R1_R3,0.146016,0.141985,-718.972702056,-719.086874679,-718.826686056,-718.944889679,-451070.2149403145,-451144.3887775796,-3.7411459072027355,-1.5777717398550481
8_SH_CN_R1_R7,0.12784,0.123715,-1061.78141886,-1061.90283687,-1061.65357886,-1061.7791218700002,-666197.1756168597,-666275.954985522,-8.346677304245532,-1.3780609121787637
9_P_CH3_2_NH2_R1_R8,0.209755,0.205165,-1047.26879931,-1047.36981512,-1047.05904431,-1047.16465012,-657038.9738359238,-657105.2424321511,4.1640951306326315,-1.920568714740585
10_OH_CF3_R1_R8,0.136015,0.13325,-983.563960497,-983.676457074,-983.427945497,-983.5432070740001,-617109.886650877,-617182.2143277987,-1.894985563820228,-1.6578272597103236
11_COOH_CONH2_R2_R3,0.167528,0.164495,-928.586713588,-928.699203751,-928.419185588,-928.534708751,-582591.3947291403,-582663.8865536313,-2.0591331330360845,-1.6507092869764501
12_NO2_COOH_R1_R6,0.14593,0.14006,-964.34798608,-964.472582861,-964.20205608,-964.332522861,-605045.4680087047,-605127.3370879833,-11.436387920519337,-1.244081006004972
13_2CH3N_CN_R2_R6,0.197674,0.19457,-797.546723448,-797.658403856,-797.349049448,-797.463833856,-500343.704670065,-500415.7329191447,-1.5955577216809615,-1.6708114252772663
14_NO2_CONH2_R2_R7,0.155135,0.152416,-944.500963471,-944.630557415,-944.345828471,-944.478141415,-592585.5064780087,-592668.5340411853,-12.594871818670072,-1.193845374499368
15_F_CF3_R2_R6,0.124531,0.119987,-1007.56999808,-1007.68755734,-1007.44546708,-1007.56757034,-632181.0976019037,-632257.718496483,-6.188203221419826,-1.471659372038514
16_2CH3N_COOCH3_R1_R4,0.238502,0.233792,-933.120995262,-933.226737223,-932.8824932619999,-932.992945223,-585392.1604643443,-585461.4700639395,1.1230917628854513,-1.7887009133552514
17_C6H5_OCH3_R1_R7,0.237603,0.23309,-916.867049856,-916.972263212,-916.629446856,-916.7391732120001,-575193.2275671617,-575262.081843089,1.5784154307330027,-1.8084452292065827
18_OH_SH_R1_R9,0.134777,0.129598,-1044.76779714,-1044.87519061,-1044.63302014,-1044.74559261,-655516.6218350313,-655587.2620731085,-0.2075467191170901,-1.7310000989065049
19_NH2_CONH2_R2_R6,0.173109,0.168816,-795.418999811,-795.528642913,-795.2458908110001,-795.359826913,-499023.9536969199,-499095.4496263497,-1.0632380718598142,-1.6938945374502488
20_CH3_COOH_R1_R6,0.170945,0.166054,-799.226752415,-799.337713088,-799.055807415,-799.171659088,-501414.7106551792,-501487.40862265177,-2.265276114689186,-1.6417702565071253
